sacrifice_no;sacrifice_time;sacrifice_price;empty_share;shareholder_1;shareholder_2;shareholder_3;shareholder_4;shareholder_5;shareholder_6;shareholder_7
041;17:00;30000;;Carr Allaker;Kaycee Shepeard;Garner Blissitt;Felix Olfert;Pearline Wilman;Inger Negro;Mellisa Corse
042;17:15;32000;;Charil Dyball;Winny Harman;Melisandra MacWhirter;Thaxter Kneel;Weylin Clemmow;Whit Von Salzberg;Donetta Bearcock
043;17:30;34000;;Ophelia Croyden;Roman Bole;Sallyann Fackrell;Farlay Rangell;Teri Turpin;Magnum Murphey;Glenna Lynskey
044;17:45;36000;;Daffi Nerheny;Palmer Brou;Schuyler Crowley;Sol Le Quesne;Brock Brezlaw;Xavier Parsons;Edee Sommerfeld
045;18:00;38000;;Sybila Garfoot;Jania Scala;De Conws;Sandor McKinney;Gaston Grimoldby;Claudina Dominey;Crichton Pasby
046;18:15;40000;;Kirsten Ianitti;Palmer Brownill;Brittaney Ragless;Pippo Bester;Sandor Phoebe;Sutton Sein;Guillaume Kits
047;18:30;30000;;Laure Lutas;Jenica Elcoux;Freddy Kelle;Enrica Omar;Darn Winders;Carroll Andryushchenko;Ardra Doggett
048;18:45;32000;;Ford Bainbridge;Marwin Simukov;Verina Castiglione;Bernie Heaney;Augustus Pilkington;Tedmund McCooke;Jonathon Spelling
049;19:00;34000;;Clim Smy;Winslow Brigden;Tome Marcq;Lorry Franklin;Antonia Bulley;Pren Oldale;Jackie Bartle
050;19:15;36000;;Flossy Thoumas;Emmery Mewburn;Talia Longson;Sibilla Grevel;Sloan Brouard;Betty Fawltey;Bengt Faichnie
051;19:30;38000;;Mathilda Gioan;Vikky Larkin;Hercules Paoletti;Winthrop Swainston;Iris Lutzmann;Sidonia Battelle;Emelina Cardow
052;19:45;40000;;Binny Ruddick;Shirlee Moulden;Lelia Sterman;Aeriell Castellucci;Averil Ollerton;Wally Howkins;Christophorus Salack
053;20:00;32000;;Abigael Lanchbery;Elset Coultous;Eugenius Hortop;Carolan Gulley;Patric Ranstead;Dagny Dunmore;Marjy Eschelle1
054;20:15;34000;;Lindsay Nand;Wanda Skade;Andonis Herion;Lonni Fagan;Dwayne Linnane;My Lerego;Lexine Budgett1
055;20:30;36000;;Chrissy Cocklin;Bert Elwyn;Alwyn Hartlebury;Gretel Bowditch;Kaitlyn McLaughlan;Craig Bramont;Allin McAneny1
056;20:45;38000;;Kaycee Shepeard;Jacob Klaessen;Tobye Bolte;Alia Tremelling;Shamus Longea;Zebulen Arderne;Whitney Cardenosa1
057;21:00;40000;;Winny Harman;Addie Deny;Omero Lavington;Kipp Cuming;Kally Mance;Emylee Ullock;Griswold Kinney1
058;21:15;30000;;Roman Bole;Elijah Coryndon;Ivory Marchetti;Berri Iacovazzi;Gothart Hallworth;Moises Pace;Algernon Rudgard1
059;21:30;32000;;Palmer Brou;Nikolai Loynes;Kerby Beric;Honey Brumbye;Melisse Carrabott;Maitilde Coneley;Torey Marielle1
060;21:45;34000;;Jania Scala;Vernen Thaw;Wolf Prewer;Pearline Wilman;Fina Debold;Ilse Watkiss;Dale Bartram1
061;22:00;36000;;Palmer Brownill;Peter Normavell;Babbie Aspland;Weylin Clemmow;Duky Fesby;Gelya Euler;Morna Grinaugh1
062;22:15;38000;;Jenica Elcoux;Jeremiah Brunone;Rodolphe Portingale;Teri Turpin;Cybil Smidmor;Ezechiel Fiveash;Freeland Romans1
063;22:30;40000;;Marwin Simukov;Clerkclaude Luter;Shawna Mattam;Brock Brezlaw;Inger Negro;Hamish Brierly;Huey Ankers
064;22:45;30000;;Winslow Brigden;Bebe Saer;Maynord Littrik;Gaston Grimoldby;Whit Von Salzberg;Gabriella Kencott;Kari Vautier
065;23:00;32000;;Emmery Mewburn;Curcio Vittore;Morlee Leathe;Sandor Phoebe;Magnum Murphey;Mellisa Corse;Sashenka Truwert
066;23:15;34000;;Vikky Larkin;Taber Bille;Yancey Colliss;Darn Winders;Xavier Parsons;Donetta Bearcock;Lishe Gilbee
067;23:30;36000;;Shirlee Moulden;Aldwin Haddington;Bartel De Simone;Augustus Pilkington;Claudina Dominey;Glenna Lynskey;Christan Ayscough
068;23:45;38000;;Elset Coultous;Garner Blissitt;Holt Gossipin;Antonia Bulley;Sutton Sein;Edee Sommerfeld;Georgeta Cino
069;00:00;40000;;Wanda Skade;Melisandra MacWhirter;Chandal Iceton;Sloan Brouard;Carroll Andryushchenko;Crichton Pasby;Teodor Murie
070;00:15;32000;;Bert Elwyn;Sallyann Fackrell;Thalia Macartney;Iris Lutzmann;Tedmund McCooke;Guillaume Kits;Linnie Kimble
071;00:30;34000;;Jacob Klaessen;Schuyler Crowley;Reid Fergie;Averil Ollerton;Pren Oldale;Ardra Doggett;Lila Knightly
072;00:45;36000;;Addie Deny;De Conws;Ellynn Oldacres;Patric Ranstead;Betty Fawltey;Jonathon Spelling;Flora Colyer
073;01:00;38000;;Elijah Coryndon;Brittaney Ragless;Kordula Plumridege;Dwayne Linnane;Sidonia Battelle;Jackie Bartle;Zilvia Raithbie
074;01:15;40000;;Nikolai Loynes;Freddy Kelle;Fred Trevena;Kaitlyn McLaughlan;Wally Howkins;Bengt Faichnie;Yance Cope
075;01:30;30000;;Vernen Thaw;Verina Castiglione;Codee Jarritt;Shamus Longea;Dagny Dunmore;Emelina Cardow;Ian Dudley
076;01:45;32000;;Peter Normavell;Tome Marcq;Hugo Worters;Kally Mance;My Lerego;Christophorus Salack;Lilith Capell
077;02:00;34000;;Jeremiah Brunone;Talia Longson;Melitta Rycraft;Gothart Hallworth;Craig Bramont;Marjy Eschelle1;Jewelle Pidgley
078;02:15;36000;;Clerkclaude Luter;Hercules Paoletti;Karmen Shalcras;Melisse Carrabott;Zebulen Arderne;Lexine Budgett1;Aylmar Loomes
079;02:30;38000;;Bebe Saer;Lelia Sterman;Hugh Creyke;Fina Debold;Emylee Ullock;Allin McAneny1;Kimberli Larchiere
080;02:45;40000;;Curcio Vittore;Eugenius Hortop;Susannah Fellgett;Duky Fesby;Moises Pace;Whitney Cardenosa1;Corby Jarman
081;03:00;30000;;Taber Bille;Andonis Herion;Cordy Aird;Cybil Smidmor;Maitilde Coneley;Griswold Kinney1;Fanny Fowlston
082;03:15;32000;;Aldwin Haddington;Alwyn Hartlebury;Felix Olfert;Inger Negro;Ilse Watkiss;Algernon Rudgard1;Clement Gomm
083;03:30;34000;;Garner Blissitt;Tobye Bolte;Thaxter Kneel;Whit Von Salzberg;Gelya Euler;Torey Marielle1;Dalia Andrzejowski
084;03:45;36000;;Melisandra MacWhirter;Omero Lavington;Farlay Rangell;Magnum Murphey;Ezechiel Fiveash;Dale Bartram1;Janie Bullcock
085;04:00;38000;;Sallyann Fackrell;Ivory Marchetti;Sol Le Quesne;Xavier Parsons;Hamish Brierly;Morna Grinaugh1;Dorena Ickowics
086;04:15;40000;;Schuyler Crowley;Kerby Beric;Sandor McKinney;Claudina Dominey;Gabriella Kencott;Freeland Romans1;Vail Brosetti
087;04:30;32000;;De Conws;Wolf Prewer;Pippo Bester;Sutton Sein;Mellisa Corse;Huey Ankers;Ardelia Bugdall
088;04:45;34000;;Brittaney Ragless;Babbie Aspland;Enrica Omar;Carroll Andryushchenko;Donetta Bearcock;Kari Vautier;Stefanie Louden
089;05:00;36000;;Freddy Kelle;Rodolphe Portingale;Bernie Heaney;Tedmund McCooke;Glenna Lynskey;Sashenka Truwert;Rahel Stallebrass
090;05:15;38000;;Verina Castiglione;Shawna Mattam;Lorry Franklin;Pren Oldale;Edee Sommerfeld;Lishe Gilbee;Claiborne Stanger
091;05:30;40000;;Tome Marcq;Maynord Littrik;Sibilla Grevel;Betty Fawltey;Crichton Pasby;Christan Ayscough;Panchito Amthor
092;05:45;30000;;Talia Longson;Morlee Leathe;Winthrop Swainston;Sidonia Battelle;Guillaume Kits;Georgeta Cino;Hanan Hearne
093;06:00;32000;;Hercules Paoletti;Yancey Colliss;Aeriell Castellucci;Wally Howkins;Ardra Doggett;Teodor Murie;Carr Allaker
094;06:15;34000;;Lelia Sterman;Bartel De Simone;Carolan Gulley;Dagny Dunmore;Jonathon Spelling;Linnie Kimble;Charil Dyball
095;06:30;36000;;Eugenius Hortop;Holt Gossipin;Lonni Fagan;My Lerego;Jackie Bartle;Lila Knightly;Ophelia Croyden
096;06:45;38000;;Andonis Herion;Chandal Iceton;Gretel Bowditch;Craig Bramont;Bengt Faichnie;Flora Colyer;Daffi Nerheny
097;07:00;40000;;Alwyn Hartlebury;Thalia Macartney;Alia Tremelling;Zebulen Arderne;Emelina Cardow;Zilvia Raithbie;Sybila Garfoot
098;07:15;30000;;Tobye Bolte;Reid Fergie;Kipp Cuming;Emylee Ullock;Christophorus Salack;Yance Cope;Kirsten Ianitti
099;07:30;32000;;Omero Lavington;Ellynn Oldacres;Berri Iacovazzi;Moises Pace;Marjy Eschelle1;Ian Dudley;Laure Lutas
100;07:45;34000;;Ivory Marchetti;Kordula Plumridege;Honey Brumbye;Maitilde Coneley;Lexine Budgett1;Lilith Capell;Ford Bainbridge
101;08:00;36000;;Kerby Beric;Fred Trevena;Pearline Wilman;Ilse Watkiss;Allin McAneny1;Jewelle Pidgley;Clim Smy
102;08:15;38000;;Wolf Prewer;Codee Jarritt;Weylin Clemmow;Gelya Euler;Whitney Cardenosa1;Aylmar Loomes;Flossy Thoumas
103;08:30;40000;;Babbie Aspland;Hugo Worters;Teri Turpin;Ezechiel Fiveash;Griswold Kinney1;Kimberli Larchiere;Mathilda Gioan
104;08:45;32000;;Rodolphe Portingale;Melitta Rycraft;Brock Brezlaw;Hamish Brierly;Algernon Rudgard1;Corby Jarman;Binny Ruddick
105;09:00;34000;;Shawna Mattam;Karmen Shalcras;Gaston Grimoldby;Gabriella Kencott;Torey Marielle1;Fanny Fowlston;Abigael Lanchbery
106;09:15;36000;;Maynord Littrik;Hugh Creyke;Sandor Phoebe;Mellisa Corse;Dale Bartram1;Clement Gomm;Lindsay Nand
107;09:30;38000;;Morlee Leathe;Susannah Fellgett;Darn Winders;Donetta Bearcock;Morna Grinaugh1;Dalia Andrzejowski;Chrissy Cocklin
108;09:45;40000;;Yancey Colliss;Cordy Aird;Augustus Pilkington;Glenna Lynskey;Freeland Romans1;Janie Bullcock;Kaycee Shepeard
109;10:00;30000;;Bartel De Simone;Felix Olfert;Antonia Bulley;Edee Sommerfeld;Huey Ankers;Dorena Ickowics;Winny Harman
110;10:15;32000;;Holt Gossipin;Thaxter Kneel;Sloan Brouard;Crichton Pasby;Kari Vautier;Vail Brosetti;Roman Bole
111;10:30;34000;;Chandal Iceton;Farlay Rangell;Iris Lutzmann;Guillaume Kits;Sashenka Truwert;Ardelia Bugdall;Palmer Brou
112;10:45;36000;;Thalia Macartney;Sol Le Quesne;Averil Ollerton;Ardra Doggett;Lishe Gilbee;Stefanie Louden;Jania Scala
113;11:00;38000;;Reid Fergie;Sandor McKinney;Patric Ranstead;Jonathon Spelling;Christan Ayscough;Rahel Stallebrass;Palmer Brownill
114;11:15;40000;;Ellynn Oldacres;Pippo Bester;Dwayne Linnane;Jackie Bartle;Georgeta Cino;Claiborne Stanger;Jenica Elcoux
115;11:30;30000;;Kordula Plumridege;Enrica Omar;Kaitlyn McLaughlan;Bengt Faichnie;Teodor Murie;Panchito Amthor;Marwin Simukov
116;11:45;32000;;Fred Trevena;Bernie Heaney;Shamus Longea;Emelina Cardow;Linnie Kimble;Hanan Hearne;Winslow Brigden
117;12:00;34000;;Codee Jarritt;Lorry Franklin;Kally Mance;Christophorus Salack;Lila Knightly;Carr Allaker;Emmery Mewburn
118;12:15;36000;;Hugo Worters;Sibilla Grevel;Gothart Hallworth;Marjy Eschelle1;Flora Colyer;Charil Dyball;Vikky Larkin
119;12:30;38000;;Melitta Rycraft;Winthrop Swainston;Melisse Carrabott;Lexine Budgett1;Zilvia Raithbie;Ophelia Croyden;Shirlee Moulden
120;12:45;40000;;Karmen Shalcras;Aeriell Castellucci;Fina Debold;Allin McAneny1;Yance Cope;Daffi Nerheny;Elset Coultous
121;13:00;32000;;Hugh Creyke;Carolan Gulley;Duky Fesby;Whitney Cardenosa1;Ian Dudley;Sybila Garfoot;Wanda Skade
122;13:15;34000;;Susannah Fellgett;Lonni Fagan;Cybil Smidmor;Griswold Kinney1;Lilith Capell;Kirsten Ianitti;Bert Elwyn
123;13:30;36000;;Cordy Aird;Gretel Bowditch;Inger Negro;Algernon Rudgard1;Jewelle Pidgley;Laure Lutas;Jacob Klaessen
124;13:45;38000;;Felix Olfert;Alia Tremelling;Whit Von Salzberg;Torey Marielle1;Aylmar Loomes;Ford Bainbridge;Addie Deny
125;14:00;40000;;Thaxter Kneel;Kipp Cuming;Magnum Murphey;Dale Bartram1;Kimberli Larchiere;Clim Smy;Elijah Coryndon
126;14:15;30000;;Farlay Rangell;Berri Iacovazzi;Xavier Parsons;Morna Grinaugh1;Corby Jarman;Flossy Thoumas;Nikolai Loynes
127;14:30;32000;;Sol Le Quesne;Honey Brumbye;Claudina Dominey;Freeland Romans1;Fanny Fowlston;Mathilda Gioan;Vernen Thaw
128;14:45;34000;;Sandor McKinney;Pearline Wilman;Sutton Sein;Huey Ankers;Clement Gomm;Binny Ruddick;Peter Normavell
129;15:00;36000;;Pippo Bester;Weylin Clemmow;Carroll Andryushchenko;Kari Vautier;Dalia Andrzejowski;Abigael Lanchbery;Jeremiah Brunone
130;15:15;38000;;Enrica Omar;Teri Turpin;Tedmund McCooke;Sashenka Truwert;Janie Bullcock;Lindsay Nand;Clerkclaude Luter
131;15:30;40000;;Bernie Heaney;Brock Brezlaw;Pren Oldale;Lishe Gilbee;Dorena Ickowics;Chrissy Cocklin;Bebe Saer
132;15:45;30000;;Lorry Franklin;Gaston Grimoldby;Betty Fawltey;Christan Ayscough;Vail Brosetti;Kaycee Shepeard;Curcio Vittore
133;16:00;32000;;Sibilla Grevel;Sandor Phoebe;Sidonia Battelle;Georgeta Cino;Ardelia Bugdall;Winny Harman;Taber Bille
134;16:15;34000;;Winthrop Swainston;Darn Winders;Wally Howkins;Teodor Murie;Stefanie Louden;Roman Bole;Aldwin Haddington
135;16:30;36000;;Aeriell Castellucci;Augustus Pilkington;Dagny Dunmore;Linnie Kimble;Rahel Stallebrass;Palmer Brou;Garner Blissitt
136;16:45;38000;;Carolan Gulley;Antonia Bulley;My Lerego;Lila Knightly;Claiborne Stanger;Jania Scala;Melisandra MacWhirter
137;17:00;40000;;Lonni Fagan;Sloan Brouard;Craig Bramont;Flora Colyer;Panchito Amthor;Palmer Brownill;Sallyann Fackrell
138;17:15;32000;;Gretel Bowditch;Iris Lutzmann;Zebulen Arderne;Zilvia Raithbie;Hanan Hearne;Jenica Elcoux;Schuyler Crowley
139;17:30;34000;;Alia Tremelling;Averil Ollerton;Emylee Ullock;Yance Cope;Carr Allaker;Marwin Simukov;De Conws
140;17:45;36000;;Kipp Cuming;Patric Ranstead;Moises Pace;Ian Dudley;Charil Dyball;Winslow Brigden;Brittaney Ragless
141;18:00;38000;;Berri Iacovazzi;Dwayne Linnane;Maitilde Coneley;Lilith Capell;Ophelia Croyden;Emmery Mewburn;Freddy Kelle
142;18:15;40000;;Honey Brumbye;Kaitlyn McLaughlan;Ilse Watkiss;Jewelle Pidgley;Daffi Nerheny;Vikky Larkin;Verina Castiglione
143;18:30;30000;;Pearline Wilman;Shamus Longea;Gelya Euler;Aylmar Loomes;Sybila Garfoot;Shirlee Moulden;Tome Marcq
144;18:45;32000;;Weylin Clemmow;Kally Mance;Ezechiel Fiveash;Kimberli Larchiere;Kirsten Ianitti;Elset Coultous;Talia Longson
145;19:00;34000;;Teri Turpin;Gothart Hallworth;Hamish Brierly;Corby Jarman;Laure Lutas;Wanda Skade;Hercules Paoletti
146;19:15;36000;;Brock Brezlaw;Melisse Carrabott;Gabriella Kencott;Fanny Fowlston;Ford Bainbridge;Bert Elwyn;Lelia Sterman
147;19:30;38000;;Gaston Grimoldby;Fina Debold;Mellisa Corse;Clement Gomm;Clim Smy;Jacob Klaessen;Eugenius Hortop
148;19:45;40000;;Sandor Phoebe;Duky Fesby;Donetta Bearcock;Dalia Andrzejowski;Flossy Thoumas;Addie Deny;Andonis Herion
149;20:00;30000;;Darn Winders;Cybil Smidmor;Glenna Lynskey;Janie Bullcock;Mathilda Gioan;Elijah Coryndon;Alwyn Hartlebury
150;20:15;32000;;Augustus Pilkington;Inger Negro;Edee Sommerfeld;Dorena Ickowics;Binny Ruddick;Nikolai Loynes;Tobye Bolte
151;20:30;34000;;Antonia Bulley;Whit Von Salzberg;Crichton Pasby;Vail Brosetti;Abigael Lanchbery;Vernen Thaw;Omero Lavington
152;20:45;36000;;Sloan Brouard;Magnum Murphey;Guillaume Kits;Ardelia Bugdall;Lindsay Nand;Peter Normavell;Ivory Marchetti
153;21:00;38000;;Iris Lutzmann;Xavier Parsons;Ardra Doggett;Stefanie Louden;Chrissy Cocklin;Jeremiah Brunone;Kerby Beric
154;21:15;40000;;Averil Ollerton;Claudina Dominey;Jonathon Spelling;Rahel Stallebrass;Kaycee Shepeard;Clerkclaude Luter;Wolf Prewer
155;21:30;32000;;Patric Ranstead;Sutton Sein;Jackie Bartle;Claiborne Stanger;Winny Harman;Bebe Saer;Babbie Aspland
156;21:45;34000;;Dwayne Linnane;Carroll Andryushchenko;Bengt Faichnie;Panchito Amthor;Roman Bole;Curcio Vittore;Rodolphe Portingale
157;22:00;36000;;Kaitlyn McLaughlan;Tedmund McCooke;Emelina Cardow;Hanan Hearne;Palmer Brou;Taber Bille;Shawna Mattam
158;22:15;38000;;Shamus Longea;Pren Oldale;Christophorus Salack;Carr Allaker;Jania Scala;Aldwin Haddington;Maynord Littrik
159;22:30;40000;;Kally Mance;Betty Fawltey;Marjy Eschelle1;Charil Dyball;Palmer Brownill;Garner Blissitt;Morlee Leathe
160;22:45;30000;;Gothart Hallworth;Sidonia Battelle;Lexine Budgett1;Ophelia Croyden;Jenica Elcoux;Melisandra MacWhirter;Yancey Colliss
161;23:00;32000;;Melisse Carrabott;Wally Howkins;Allin McAneny1;Daffi Nerheny;Marwin Simukov;Sallyann Fackrell;Bartel De Simone
162;23:15;34000;;Fina Debold;Dagny Dunmore;Whitney Cardenosa1;Sybila Garfoot;Winslow Brigden;Schuyler Crowley;Holt Gossipin
163;23:30;36000;;Duky Fesby;My Lerego;Griswold Kinney1;Kirsten Ianitti;Emmery Mewburn;De Conws;Chandal Iceton
164;23:45;38000;;Cybil Smidmor;Craig Bramont;Algernon Rudgard1;Laure Lutas;Vikky Larkin;Brittaney Ragless;Thalia Macartney
165;00:00;40000;;Inger Negro;Zebulen Arderne;Torey Marielle1;Ford Bainbridge;Shirlee Moulden;Freddy Kelle;Reid Fergie
166;00:15;30000;;Whit Von Salzberg;Emylee Ullock;Dale Bartram1;Clim Smy;Elset Coultous;Verina Castiglione;Ellynn Oldacres
167;00:30;32000;;Magnum Murphey;Moises Pace;Morna Grinaugh1;Flossy Thoumas;Wanda Skade;Tome Marcq;Kordula Plumridege
168;00:45;34000;;Xavier Parsons;Maitilde Coneley;Freeland Romans1;Mathilda Gioan;Bert Elwyn;Talia Longson;Fred Trevena
169;01:00;36000;;Claudina Dominey;Ilse Watkiss;Huey Ankers;Binny Ruddick;Jacob Klaessen;Hercules Paoletti;Codee Jarritt
170;01:15;38000;;Sutton Sein;Gelya Euler;Kari Vautier;Abigael Lanchbery;Addie Deny;Lelia Sterman;Hugo Worters
171;01:30;40000;;Carroll Andryushchenko;Ezechiel Fiveash;Sashenka Truwert;Lindsay Nand;Elijah Coryndon;Eugenius Hortop;Melitta Rycraft
172;01:45;32000;;Tedmund McCooke;Hamish Brierly;Lishe Gilbee;Chrissy Cocklin;Nikolai Loynes;Andonis Herion;Karmen Shalcras
173;02:00;34000;;Pren Oldale;Gabriella Kencott;Christan Ayscough;Kaycee Shepeard;Vernen Thaw;Alwyn Hartlebury;Hugh Creyke
174;02:15;36000;;Betty Fawltey;Mellisa Corse;Georgeta Cino;Winny Harman;Peter Normavell;Tobye Bolte;Susannah Fellgett
175;02:30;38000;;Sidonia Battelle;Donetta Bearcock;Teodor Murie;Roman Bole;Jeremiah Brunone;Omero Lavington;Cordy Aird
176;02:45;40000;;Wally Howkins;Glenna Lynskey;Linnie Kimble;Palmer Brou;Clerkclaude Luter;Ivory Marchetti;Felix Olfert
177;03:00;30000;;Dagny Dunmore;Edee Sommerfeld;Lila Knightly;Jania Scala;Bebe Saer;Kerby Beric;Thaxter Kneel
178;03:15;32000;;My Lerego;Crichton Pasby;Flora Colyer;Palmer Brownill;Curcio Vittore;Wolf Prewer;Farlay Rangell
179;03:30;34000;;Craig Bramont;Guillaume Kits;Zilvia Raithbie;Jenica Elcoux;Taber Bille;Babbie Aspland;Sol Le Quesne
180;03:45;36000;;Zebulen Arderne;Ardra Doggett;Yance Cope;Marwin Simukov;Aldwin Haddington;Rodolphe Portingale;Sandor McKinney
181;04:00;38000;;Emylee Ullock;Jonathon Spelling;Ian Dudley;Winslow Brigden;Garner Blissitt;Shawna Mattam;Pippo Bester
182;04:15;40000;;Moises Pace;Jackie Bartle;Lilith Capell;Emmery Mewburn;Melisandra MacWhirter;Maynord Littrik;Enrica Omar
183;04:30;30000;;Maitilde Coneley;Bengt Faichnie;Jewelle Pidgley;Vikky Larkin;Sallyann Fackrell;Morlee Leathe;Bernie Heaney
184;04:45;32000;;Ilse Watkiss;Emelina Cardow;Aylmar Loomes;Shirlee Moulden;Schuyler Crowley;Yancey Colliss;Lorry Franklin
185;05:00;34000;;Gelya Euler;Christophorus Salack;Kimberli Larchiere;Elset Coultous;De Conws;Bartel De Simone;Sibilla Grevel
186;05:15;36000;;Ezechiel Fiveash;Marjy Eschelle1;Corby Jarman;Wanda Skade;Brittaney Ragless;Holt Gossipin;Winthrop Swainston
